date,lluvia_14d_mtt,lluvia_14d_slp,lluvia_14d_tabasco,lluvia_14d_tuxtepec,lluvia_14d_yucatan,lluvia_7d_mtt,lluvia_7d_slp,lluvia_7d_tabasco,lluvia_7d_tuxtepec,lluvia_7d_yucatan,lluvia_mm_mtt,lluvia_mm_slp,lluvia_mm_tabasco,lluvia_mm_tuxtepec,lluvia_mm_yucatan,lluvia_mm_ponderada,lluvia_7d_ponderada,lluvia_14d_ponderada,lluvia_mm,lluvia_7d,lluvia_14d,lluvia_14d_lag6,lluvia_7d_lag7,lluvia_3d_lag7
2023-01-28,19.1,6.859999999999984,46.31000000000003,17.540000000000003,61.720000000000006,18.759999999999994,6.489999999999999,46.310000000000045,17.53999999999999,61.71999999999997,0.93,0.01,1.45,0.19,1.63,0.8231034482758621,22.516091954022986,22.748390804597705,0.8231034482758621,22.516091954022986,22.748390804597705,21.051609195402303,0.23229885057470936,0.012413793103448277
2023-01-29,19.14,6.859999999999984,46.31000000000003,17.54,61.84,13.029999999999994,5.34,46.30000000000005,12.959999999999988,61.83999999999997,0.04,0.0,0.0,0.0,0.12,0.031724137931034485,18.05724137931034,22.780114942528737,0.031724137931034485,18.05724137931034,22.780114942528737,22.35735632183908,4.722873563218388,4.490574712643678
2023-01-30,19.48,6.859999999999984,46.32000000000003,17.54,61.85000000000001,9.869999999999994,1.209999999999999,46.12000000000004,7.779999999999987,61.64999999999997,0.34,0.0,0.01,0.0,0.01,0.21241379310344832,14.880459770114935,22.992528735632185,0.21241379310344832,14.880459770114935,22.992528735632185,22.04919540229885,8.112068965517237,3.3891954022988506
2023-01-31,20.13,7.239999999999984,46.330000000000034,17.549999999999997,61.85000000000001,10.449999999999994,1.0299999999999991,46.10000000000005,7.489999999999987,61.30999999999997,0.65,0.46,0.01,0.01,0.0,0.4325287356321839,15.155632183908043,23.420459770114945,0.4325287356321839,15.155632183908043,23.420459770114945,24.944482758620694,8.264827586206891,0.15735632183908047
2023-02-01,23.63,9.359999999999983,46.37000000000003,17.959999999999997,61.85000000000001,11.669999999999996,3.1999999999999997,37.98000000000004,6.8399999999999865,49.29999999999997,3.5,2.17,0.04,0.41,0.0,2.3757471264367815,14.574482758620688,25.793333333333333,2.3757471264367815,14.574482758620688,25.793333333333333,27.77873563218391,11.21885057471264,2.956896551724138
2023-02-02,26.9,9.859999999999983,46.580000000000034,19.020000000000003,61.85000000000001,10.329999999999997,3.5499999999999994,9.740000000000045,2.6099999999999866,11.809999999999972,3.5,0.69,0.21,1.06,0.0,2.423908045977012,8.558160919540226,28.063563218390804,2.423908045977012,8.558160919540226,28.063563218390804,22.041034482758622,19.505402298850566,8.440229885057471
2023-02-03,29.02,9.939999999999984,100.12000000000003,23.950000000000003,62.91,11.169999999999996,3.459999999999999,55.26000000000004,6.599999999999986,2.8199999999999714,2.21,0.13,53.54,4.93,1.06,6.6545977011494255,12.954022988505743,34.65942528735633,6.6545977011494255,12.954022988505743,34.65942528735633,22.748390804597705,21.705402298850572,2.258735632183908
2023-02-04,29.06,9.939999999999984,123.64000000000004,24.11,68.13000000000001,10.299999999999994,3.4499999999999997,77.33000000000004,6.569999999999986,6.409999999999972,0.06,0.0,23.52,0.16,5.22,2.259080459770115,14.389999999999997,36.90609195402299,2.259080459770115,14.389999999999997,36.90609195402299,22.780114942528737,22.516091954022986,0.8231034482758621
2023-02-05,23.35,8.789999999999983,128.72000000000003,20.25,81.57000000000001,10.319999999999997,3.4499999999999997,82.42000000000004,7.289999999999986,19.72999999999997,0.06,0.0,5.09,0.72,13.44,1.3516091954022986,15.709885057471263,33.76712643678161,1.3516091954022986,15.709885057471263,33.76712643678161,22.992528735632185,18.05724137931034,0.031724137931034485
2023-02-06,19.95,4.779999999999985,129.12000000000003,15.87,84.39,10.079999999999997,3.5699999999999994,83.00000000000004,8.089999999999986,22.739999999999966,0.1,0.12,0.59,0.8,3.02,0.43712643678160923,15.934597701149425,30.81505747126437,0.43712643678160923,15.934597701149425,30.81505747126437,23.420459770114945,14.880459770114935,0.21241379310344832
2023-02-07,19.89,4.209999999999985,129.09000000000003,15.579999999999998,84.21,9.439999999999994,3.1799999999999997,82.99000000000004,8.089999999999986,22.899999999999967,0.01,0.07,0.0,0.01,0.16,0.021264367816091954,15.523333333333332,30.67896551724138,0.021264367816091954,15.523333333333332,30.67896551724138,25.793333333333333,15.155632183908043,0.4325287356321839
2023-02-08,17.749999999999996,6.749999999999985,120.94000000000004,14.54,72.32000000000001,6.079999999999995,3.5499999999999994,82.96000000000004,7.699999999999986,23.019999999999968,0.14,2.54,0.01,0.02,0.12,0.2442528735632184,13.391839080459764,27.96632183908046,0.2442528735632184,13.391839080459764,27.96632183908046,28.063563218390804,14.574482758620688,2.3757471264367815
2023-02-09,14.88,7.289999999999984,93.16000000000004,9.27,35.05,4.5499999999999945,3.7399999999999993,83.42000000000004,6.659999999999987,23.239999999999966,1.97,0.88,0.67,0.02,0.22,1.3435632183908046,12.311494252873558,20.869655172413797,1.3435632183908046,12.311494252873558,20.869655172413797,34.65942528735633,8.558160919540226,2.423908045977012
