date,usd_mxn,usd_mxn_lag1,usd_mxn_lag3,usd_mxn_chg_3d,usd_mxn_chg_7d,usd_mxn_ma7,peso_debil_7d
2020-10-19,21.1342,21.1765,21.2998,-0.1656000000000013,-0.2975999999999992,21.2517,0
2020-10-20,21.0902,21.1342,21.3832,-0.29299999999999926,-0.0920000000000023,21.238557142857143,0
2020-10-21,21.064,21.0902,21.1765,-0.11250000000000071,-0.15429999999999922,21.216514285714286,0
2020-10-22,21.03,21.064,21.1342,-0.10419999999999874,-0.3376999999999981,21.168271428571426,0
2020-10-23,20.9205,21.03,21.0902,-0.16969999999999885,-0.37930000000000064,21.114085714285714,0
2020-10-26,20.9818,20.9205,21.064,-0.08220000000000027,-0.40139999999999887,21.056742857142858,0
2020-10-27,20.8798,20.9818,21.03,-0.15020000000000167,-0.2967000000000013,21.01435714285714,0
2020-10-28,21.1648,20.8798,20.9205,0.24429999999999907,0.03059999999999974,21.01872857142857,1
2020-10-29,21.377,21.1648,20.9818,0.3951999999999991,0.2867999999999995,21.0597,1
2020-10-30,21.2508,21.377,20.8798,0.3710000000000022,0.18680000000000163,21.086385714285715,1
2020-11-03,21.1555,21.2508,21.1648,-0.009299999999999642,0.12549999999999883,21.104314285714285,1
2020-11-04,21.0345,21.1555,21.377,-0.3424999999999976,0.11400000000000077,21.1206,0
2020-11-05,20.7612,21.0345,21.2508,-0.4896000000000029,-0.22060000000000102,21.089085714285716,0
2020-11-06,20.62,20.7612,21.1555,-0.535499999999999,-0.2597999999999985,21.051971428571427,0
2020-11-09,20.36,20.62,21.0345,-0.6745000000000019,-0.8048000000000002,20.937,0
2020-11-10,20.4018,20.36,20.7612,-0.3593999999999973,-0.9751999999999974,20.797685714285713,0
2020-11-11,20.5772,20.4018,20.62,-0.04279999999999973,-0.6736000000000004,20.701457142857144,0
2020-11-12,20.5303,20.5772,20.36,0.170300000000001,-0.6251999999999995,20.612142857142857,0
2020-11-13,20.4833,20.5303,20.4018,0.08149999999999835,-0.5512000000000015,20.5334,0
2020-11-17,20.3212,20.4833,20.5772,-0.2560000000000002,-0.4399999999999977,20.470542857142856,0
2020-11-18,20.2388,20.3212,20.5303,-0.2914999999999992,-0.38119999999999976,20.416085714285714,0
2020-11-19,20.1858,20.2388,20.4833,-0.29749999999999943,-0.17419999999999902,20.3912,0
2020-11-20,20.1172,20.1858,20.3212,-0.20400000000000063,-0.2846000000000011,20.35054285714286,0
2020-11-23,20.1012,20.1172,20.2388,-0.1376000000000026,-0.47600000000000264,20.282542857142857,0
2020-11-24,20.0577,20.1012,20.1858,-0.12809999999999988,-0.4725999999999999,20.215028571428572,0
2020-11-25,20.0465,20.0577,20.1172,-0.07069999999999865,-0.4367999999999981,20.152628571428572,0
2020-11-26,20.0467,20.0465,20.1012,-0.05449999999999733,-0.27449999999999974,20.11341428571429,0
2020-11-27,20.0777,20.0467,20.0577,0.019999999999999574,-0.16110000000000113,20.0904,0
2020-11-30,20.1398,20.0777,20.0465,0.09329999999999927,-0.045999999999999375,20.083828571428572,1
2020-12-01,20.0508,20.1398,20.0467,0.00409999999999755,-0.06640000000000157,20.074342857142856,0
2020-12-02,20.0497,20.0508,20.0777,-0.027999999999998693,-0.051499999999997215,20.066985714285718,0
2020-12-03,19.9083,20.0497,20.1398,-0.23150000000000048,-0.14939999999999998,20.04564285714286,0
2020-12-04,19.7838,19.9083,20.0508,-0.26699999999999946,-0.2627000000000024,20.00811428571429,0
2020-12-07,19.8213,19.7838,20.0497,-0.2284000000000006,-0.2254000000000005,19.975914285714286,0
2020-12-08,19.7537,19.8213,19.9083,-0.15460000000000207,-0.3240000000000016,19.929628571428573,0
2020-12-09,19.8368,19.7537,19.7838,0.053000000000000824,-0.3030000000000008,19.886342857142857,0
2020-12-10,19.9572,19.8368,19.8213,0.13589999999999947,-0.09359999999999857,19.87297142857143,1
2020-12-11,20.1075,19.9572,19.7537,0.3538000000000032,0.057800000000000296,19.881228571428572,1
2020-12-14,20.1778,20.1075,19.8368,0.3410000000000011,0.26950000000000074,19.919728571428575,1
2020-12-15,20.1113,20.1778,19.9572,0.15409999999999968,0.32750000000000057,19.966514285714286,1
